full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d571500.raw.Z,36682,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/CARIOCA_Drifters/CARIOCA_2004_03_03740.csv,637008,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/CARIOCA_Drifters/._CARIOCA_2004_03_01110.csv,4096,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/CARIOCA_Drifters/._CARIOCA_2006_01_13060.csv,4096,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/__MACOSX/._Hydrochem_data,210,_Hydrochem_data
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/land_199701_200912/MAY07L.Z,10174799,Z
/cdiac/cdiac.ornl.gov/pub8old/pub8/__MACOSX/._PX101E.csv,82,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/AUG63O.Z,2237491,Z
/cdiac/cdiac.ornl.gov2/pub4/ndp026c/land_199203_199612/SEP95L.Z,29053781,Z
/cdiac/cdiac.ornl.gov/pub8old/pub8/__MACOSX/._PX116W.csv,82,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/49NZ20010828_hy1.csv,33217,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/__MACOSX/._PX105E.csv,82,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/land_199701_200912/NOV04L.Z,10190173,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/land_199701_200912/OCT02L.Z,10738233,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/JUL95O.Z,2604051,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/JUL75O.Z,3622917,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/JUL74O.Z,2374483,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-04/b1002200.raw.Z,167413,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-04/b1002330.raw.Z,167313,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-04/b1010600.raw.Z,173825,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-05/b1332000.raw.Z,113127,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-03/ab662330.raw.Z,92341,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/JUN57O.Z,2226089,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-03/ab662130.raw.Z,97807,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d31830.raw.Z,30547,Z
/cdiac/cdiac.ornl.gov/pub2/ndp026c/ship_195112_199712/SEP91O.Z,3014799,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d31800.raw.Z,29240,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d40300.raw.Z,33992,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d550600.raw.Z,110109,Z
/cdiac/cdiac.ornl.gov/pub8old/SurfaceAlkalinityClimatology/gifs/SurfaceAlkalinityClimatology_10.gif,471047,gif
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-09/d99x~bc7.flx.Z,1645,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d542200.raw.Z,96629,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-09/d99x_273.err.Z,182,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d40100.raw.Z,31798,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d551930.raw.Z,34404,Z
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/PANC/PANC20140411_bundle.zip,141485,zip
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/PASR/PASR20140219_bundle.zip,4915081,zip
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/PASR/PASR20140117_bundle.zip,4963162,zip
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/PAT5/PAT520131023_bundle.zip,168331,zip
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/PANC/PANC20140513_bundle.zip,130915,zip
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d40500.raw.Z,34863,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d550530.raw.Z,126169,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d550700.raw.Z,117955,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/Hydrochem_data/._in2016_v02Hydro027.nc,210,nc
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/PANC/PANC20141011_bundle.zip,133993,zip
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-03/ac671300.raw.Z,132487,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-03/ac670430.raw.Z,80061,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-02/a$361700.raw.Z,112085,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-03/ac670630.raw.Z,100445,Z
/cdiac/cdiac.ornl.gov2/pub4/ndp026c/ship_195112_199712/JAN62O.Z,2256767,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-05/b1331930.raw.Z,118183,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-03/ac670330.raw.Z,73897,Z
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-04/b1011200.raw.Z,174880,Z
/cdiac/cdiac.ornl.gov2/pub4/ndp026c/ship_195112_199712/FEB80O.Z,4103733,Z
/cdiac/cdiac.ornl.gov2/pub4/ndp026c/ship_195112_199712/FEB81O.Z,3876857,Z
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/PAT5/PAT520140102_bundle.zip,143908,zip
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/PANC/PANC20140925_bundle.zip,128299,zip
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d551100.raw.Z,156325,Z
/cdiac/cdiac.ornl.gov/pub8old/GLODAP-v1.1/gridded/GLODAP-v1.1_gridded.info,554,info
/cdiac/cdiac.ornl.gov/pub8old/GLODAP-v1.1/gridded/GLODAP-v1.1_gridded_100m-SURFACEs_9Fields.cfg,19242,cfg
