full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/pub8old/oceans/p17nclivar/P17N_1993vs2001_comparison_graphics/P17NPOComp.pdf,81384,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2016/._33WA20160713_PI_OME.xml,4096,xml
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2013/33WA20131017.csv,121587,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2013/33WA20131008_PI_OME.pdf,73278,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Santa_Cruz/2014/._PASR20140219_Metadata.pdf,4096,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2015/._33WA20151116_PI_OME.xml,4096,xml
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2012/33WA20120806_PI_OME.pdf,74202,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2013/33WA20130813_PI_OME.pdf,74320,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2016/33WA20160115_PI_OME.xml,11508,xml
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2015/33WA20150422.csv,641195,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2015/33WA20150409_PI_OME.xml,12381,xml
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2012/33WA20120907.csv,545472,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2016/33WA20160104_PI_OME.xml,11467,xml
/cdiac/cdiac.ornl.gov/pub8old/oceans/artheworld95noaa/Old_Data/mb95-02.txt,705915,txt
/cdiac/cdiac.ornl.gov/pub8old/oceans/artheworld95noaa/Old_Data/mb95-05.txt,286046,txt
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2016/33WA20160509 _PI_OME.xml,11520,xml
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2012/33WA20120917_PI_OME.xml,11844,xml
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Southern_Surveyor/SS_2008_2010/._README,4096,_README
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Skogafoss_2_Lines/SKO2015/AGFO20151121.csv,1695131,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Skogafoss_2_Lines/SKO2015/._AGFO20151218.csv,4096,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Skogafoss_2_Lines/SKO2015/AGFO20151218.csv,643836,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Skogafoss_2_Lines/SKO2015/AGFO20151121_PI_OME.pdf,13811,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_St_Lucia_and_St_Maria_Lines/Metadata/SM076A_metadata_060911.xls,24064,xls
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Southern_Surveyor/SS_2011/SS_2011_106-111_V01 metadata.xls,30208,xls
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Southern_Surveyor/SS_2008_2010/SS_200810_284-292_fCO2_IMOS.csv,1565496,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Skogafoss_Lines/SKO2007/sko717_readme.txt,3300,txt
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Southern_Surveyor/SS_2012/SS_2012_111-120_V01_fCO2_IMOS.csv,1466037,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2016/33WA20160713_PI_OME.xml,11592,xml
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2015/33WA20150714_PI_OME.pdf,74598,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2014/README.txt,426,txt
/cdiac/cdiac.ornl.gov/pub8old/pub8/CdiacBundles/09AR/09AR20131015.tsv,5025871,tsv
/cdiac/cdiac.ornl.gov/pub8old/pub8/CdiacBundles/26NA/26NA20140408.tsv,393874,tsv
/cdiac/cdiac.ornl.gov/pub8old/pub8/CdiacBundles/06AQ/2014-08 PS87_MAP.png,138340,png
/cdiac/cdiac.ornl.gov/pub8old/oceans/artheworld95noaa/Old_Data/mb95-07.txt,717411,txt
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2015/33WA20150727_PI_OME.pdf,74046,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/Walton_Smith_Coast/2016/33WA20160509_PI_OME.pdf,13434,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/co2sys/CO2SYS_calc_DOS_v1.05/co2sys_v1.05.exe,199496,exe
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Ronald_Brown/RB2015/._33RO20150714.csv,4096,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2009/2009-01_ANT25-3_MAP.png,127728,png
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2013/2013-12 PS82_METADATA.xls,45056,xls
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2013/2013-12_PS82_MAP.png,132389,png
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2013/._2013-12_PS82_MAP.png,4096,png
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2009/2009-06_ARK24-1_MAP.png,125297,png
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2014/._06AQ20140309.csv,4096,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2012/._2012-06_ARK27-1_METADATA.xls,4096,xls
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2015/._06AQ20150629_PI_OME.pdf,4096,pdf
/cdiac/cdiac.ornl.gov/pub8old/oceans/VOS_Polarstern/2014/._06AQ20140309_MAP.png,4096,png
