full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/pub8old/pub8/__MACOSX/._PX119W.csv,82,csv
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-01/y3119~27.raw.Z,111505,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-11/d99_305.nrt.Z,1481,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-09/d2730600.raw.Z,35214,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d500430.raw.Z,107791,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d500630.raw.Z,105299,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-11/d99_315.nrt.Z,3946,Z
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/49RY/49RY19930120_bundle.zip,11222,zip
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-11/d99_312.flx.Z,1092,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-11/d99_313.err.Z,2452,Z
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/49RY/49RY19920508_bundle.zip,4481,zip
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/49RY/49RY19930509_bundle.zip,4682,zip
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d590230.raw.Z,121303,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/GLODAP_Gridded_Data/AnthCO2.tar.Z,24378573,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d81900.raw.Z,111969,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/GLODAPv2/._.DS_Store,4096,DS_Store
/cdiac/cdiac.ornl.gov/pub8old/oceans/GLODAPv2/.DS_Store,10244,DS_Store
/cdiac/cdiac.ornl.gov/pub8old/oceans/ECOA_France/ecoaprlv01.csv,5626,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d582200.raw.Z,86359,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d582230.raw.Z,113433,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/ECOA_France/ecoapco214.csv,71128,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d82030.raw.Z,112381,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d590100.raw.Z,119599,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d591128.raw.Z,167793,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/ECOA_France/readme.txt,5281,txt
/cdiac/cdiac.ornl.gov/pub8old/oceans/ECOA_France/ecoapco220.csv,77279,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d81800.raw.Z,115143,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49HH20030930_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49HO19980601_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d590800.raw.Z,117577,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49HO19950615_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49HO19970711_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/ECOA_France/ecoaprlv10.csv,11709,csv
/cdiac/cdiac.ornl.gov2/pub5/LaSelva/1998-01/y312000.raw.Z,113185,Z
/cdiac/cdiac.ornl.gov2/pub4/ndp026c/ship_195112_199712/APR70O.Z,3573792,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/land_199701_200912/SEP09L.Z,9778317,Z
/cdiac/cdiac.ornl.gov/pub8old/pub8/__MACOSX/._PX131W.csv,82,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/49OS20030311_hy1.csv,6447,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/DEC59O.Z,2562988,Z
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/49RY20010424_hy1.csv,117238,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/49OS19930611_hy1.csv,66923,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/49RY19970121_hy1.csv,240109,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/kess_33RR20050617_hy1.csv,218234,csv
/cdiac/cdiac.ornl.gov/pub8old/oceans/ryofumaru10jap/9010.txt,7254,txt
/cdiac/cdiac.ornl.gov/pub8old/oceans/station_p_ca/1976-07cdiac.XLS,230912,XLS
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/define_domain.m,2081,m
/cdiac/cdiac.ornl.gov/pub8old/oceans/takasouth/kiw9sfc.dat,1090704,dat
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02032Avg.nc,115820,nc
/cdiac/cdiac.ornl.gov/pub8old/oceans/station_p_ca/1974-09cdiac.XLS,142336,XLS
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02005Avg.nc,116028,nc
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/posfig.m,1439,m
/cdiac/cdiac.ornl.gov/pub8old/oceans/takasouth/Methods for AESOPS Surface pCO2.doc,72192,doc
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02006Avg.nc,116100,nc
/cdiac/cdiac.ornl.gov/pub8old/oceans/ECOA_France/ecoapco203.csv,75501,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d80530.raw.Z,35218,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d582100.raw.Z,82355,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d582300.raw.Z,123633,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d80300.raw.Z,36298,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/Discovery_Coast_2014/74EQ20140320_PI_OME.pdf,11381,pdf
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d81630.raw.Z,117975,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49HG19960412_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d91400.raw.Z,144019,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49HG19930413_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d30600.raw.Z,100393,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-09/d99_262.err.Z,2387,Z
/cdiac/cdiac.ornl.gov/pub2/ndp026c/ship_195112_199712/OCT64O.Z,3176134,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-11/d99x_328.flx.Z,1550,Z
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/49UF/49UF20120826_bundle.zip,29025,zip
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-09/d99_252.err.Z,2309,Z
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/49UP/49UP20051021_bundle.zip,26516,zip
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d310000.raw.Z,83533,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d511830.raw.Z,121247,Z
/cdiac/cdiac.ornl.gov/pub2/ndp026c/ship_195112_199712/OCT69O.Z,3258387,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-11/d99_334.flx.Z,1303,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d511800.raw.Z,113555,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d310300.raw.Z,91279,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-09/d99_255.nrt.Z,1884,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d310330.raw.Z,94671,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-11/d99x_305.flx.Z,194,Z
/cdiac/cdiac.ornl.gov/pub2/ndp026c/ship_195112_199712/OCT75O.Z,3587809,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-11/d99x_316.flx.Z,1600,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1999-09/d99_255.flx.Z,1195,Z
/cdiac/cdiac.ornl.gov/pub8old/CdiacBundles/49UP/49UP20110515_bundle.zip,20944,zip
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49HO19980718_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d600900.raw.Z,149420,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49NZ20010604_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49NZ19990911_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49NB20040519_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d91430.raw.Z,151214,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/PACIFICAsource/._49NZ20021011_hy1.csv,177,csv
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-02/d591900.raw.Z,132681,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/GOMECC2/GOMECC2_map.jpg,123431,jpg
/cdiac/cdiac.ornl.gov/pub4/LaSelva/2000-01/d90500.raw.Z,33519,Z
/cdiac/cdiac.ornl.gov/pub9/ndp026c/land_199203_199612/NOV92L.Z,25558380,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/shore_keeling/table2_notes.txt,2753,txt
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02012Avg.nc,116028,nc
/cdiac/cdiac.ornl.gov/pub8old/pub8/SurfaceAlkalinityClimatology/SurfaceAlkalinityClimatology.info,799,info
/cdiac/cdiac.ornl.gov/pub8old/oceans/station_p_ca/1982-M5cdiac.XLS,245248,XLS
/cdiac/cdiac.ornl.gov/pub8old/pub8/DotNetFX40/dotNetFx40_Full_x86_x64.exe,50449456,exe
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro008.nc,16376,nc
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/run_2QC_toolbox_with_GUI.m,12336,m
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02029Avg.nc,116396,nc
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/readme_160725.txt,312,txt
/cdiac/cdiac.ornl.gov2/pub4/ndp026c/ship_195112_199712/APR57O.Z,2147359,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/DEC65O.Z,3189106,Z
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/49RY20080122_hy1.csv,217594,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/DEC63O.Z,2152337,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/DEC96O.Z,2337963,Z
/cdiac/cdiac.ornl.gov/pub8old/pub8/__MACOSX/._PX135W.csv,82,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp026c/ship_195112_199712/DEC78O.Z,3773323,Z
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/49RY20051021_hy1.csv,103343,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/__MACOSX/._PX143W.csv,82,csv
/cdiac/cdiac.ornl.gov2/pub4/ndp026c/ship_195112_199712/AUG59O.Z,2564614,Z
/cdiac/cdiac.ornl.gov/pub8old/oceans/station_p_ca/1977-06cdiac.XLS,276992,XLS
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/18DD19980219_hy1.csv,21930,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/toolbox_2QC.m,7096,m
/cdiac/cdiac.ornl.gov/pub8old/oceans/station_p_ca/1989-45Scdiac.XLS,303616,XLS
/cdiac/cdiac.ornl.gov/pub8old/oceans/station_p_ca/1980-01cdiac.XLS,438272,XLS
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02028Avg.nc,116468,nc
