full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/trends93/co2/maunaloa.081,2850,081
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/trends93/ch4/oceann30.325,1456,325
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/trends/co2_emis/cay.dat,9898,dat
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/18_OMMA.11.tc,19029,tc
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_55-70/61_OSMF.43.Sc,217797,Sc
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_55-70/62_OSMF.44.cr,217797,cr
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_55-70/61_OSMF.43.Ac,217797,Ac
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/18_OMMA.13.mh,76116,mh
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_55-70/61_OSMF.43.Cu,217797,Cu
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_25-40/39_OSMH.43.Cb,910657,Cb
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_55-70/61_OSMF.43.Fo,217797,Fo
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_55-70/62_OSMF.44.Cb,217797,Cb
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/18_OMMA.14.tc,19029,tc
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/19_OMMF.02.mh,76116,mh
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/18_OMMA.16.low,95145,low
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/19_OMMF.01.low,76116,low
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp046/wk1/1200luc.wk1,43800,wk1
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_25-40/39_OSMH.43.St,910657,St
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp046/doc/d500l.wk1,64900,wk1
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_25-40/40_OSMH.44.Cu,910657,Cu
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_25-40/40_OSMH.44.St,910657,St
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_41-52/50_OMYD.10.Fo,622201,Fo
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/ndp026e/cat_41-52/50_OMYD.10.Ac,622201,Ac
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/LaSelva/1998-06/b1790800.raw.Z,88333,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/LaSelva/1998-06/b1790900.raw.Z,106183,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/LaSelva/1998-05-04/b1331259.raw.Z,2295,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/russia_daily/Russia_stations/37112.txt,1006629,txt
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/russia_daily/Russia_stations/37018.txt,1451829,txt
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub2/ndp026c/ship_195112_199712/OCT61O.Z,2216037,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/russia_daily/Russia_stations/37075.txt,1084062,txt
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub2/ndp026c/ship_195112_199712/OCT66O.Z,3964073,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub2/ndp026c/ship_195112_199712/OCT63O.Z,2270959,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/LaSelva/1998-04/b1070700.raw.Z,116309,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub2/ndp026c/land_197705_198210/OCT78L.Z,27108209,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/FACE/ndffdata/soil_water.zip,429460,zip
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/FACE/ndffdata/LATR_Shoot_Growth-2002.xls,34816,xls
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/FACE/facts-IIdata/co22000r3-4.csv,95438,csv
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/FACE/facts-IIdata/co22001r3-2.csv,100122,csv
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub2/ndp026c/ship_199801_200812/APR08i.Z,1405925,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/FACE/ndffdata/NDFF_TDR_02_03.xls,137728,xls
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/ndp026c/land_198707_199202/APR88L.Z,27774775,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/FACE/ndffdata/HourAvg-1997.xls,1814528,xls
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub12/FACE/ndffdata/HourAvg-2005.xls,3051520,xls
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/LaSelva/1998-06/b1790700.raw.Z,117435,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/LaSelva/1998-05-04/b1331330.err.Z,2282,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/LaSelva/1998-06/b1792100.raw.Z,109855,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub4/LaSelva/1998-04/b1071300.raw.Z,141259,Z
