full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/pub/db1013_v2012/gridded/gridiso.1926.Z,43908,Z
/cdiac/cdiac.ornl.gov/pub/db1013_v2012/gridded/gridiso.1963.Z,53576,Z
/cdiac/cdiac.ornl.gov/pub/db1013_v2015/gridded/gridiso.1920.Z,44045,Z
/cdiac/cdiac.ornl.gov/pub/db1013_v2013/gridded/gridiso.1945.Z,45821,Z
/cdiac/cdiac.ornl.gov/pub/ndp005/event/aocn25_01D1_event.co2,2925,co2
/cdiac/cdiac.ornl.gov/pub/db1013_v2012/gridded/gridiso.1928.Z,45048,Z
/cdiac/cdiac.ornl.gov/pub/db1013_v2012/gridded/gridiso.1934.Z,45399,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat14/14_HARM.aa.tc.Z,59915,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat03_07/03_MSCA.42.low.Z,435773,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat10_13/10_MSAT.41.low.Z,1531477,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat08_09/08_MMCA.03.tc.Z,93939,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat08_09/08_MMCA.09.low.Z,415561,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat08_09/08_MMCA.05.tc.Z,94095,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat55_66/55_SMCA.41.ac.Z,659630,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat08_09/08_MMCA.07.mh.Z,344595,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat43_54/43_MNYD.01.hi.Z,604083,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat10_13/10_MSAT.43.mh.Z,1289036,Z
/cdiac/cdiac.ornl.gov/pub/ndp011/russia/russia.nda,32053,nda
/cdiac/cdiac.ornl.gov/pub/ndp011/russia/russia.ref,11340,ref
/cdiac/cdiac.ornl.gov/pub/ndp011/russia/russia.pub,2997,pub
/cdiac/cdiac.ornl.gov/pub/ndp011/russia/russia.for,19817,for
/cdiac/cdiac.ornl.gov/pub/ndp011/russia/russia.ind,7581,ind
/cdiac/cdiac.ornl.gov/pub/ndp005a/smo/smoday1983.co2,13817,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/mlo/mloday1999.co2,13817,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/smo/smoday1988.co2,13850,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/brw/co2_brw_surface-insitu_1_ccgg_hour_2011.txt,599299,txt
/cdiac/cdiac.ornl.gov/pub/ndp005/month/tdfmm.co2,3829,co2
/cdiac/cdiac.ornl.gov/pub/ndp005/event/pocs35_01D0_event.co2,74654,co2
/cdiac/cdiac.ornl.gov/pub/ndp005/month/zepmm.co2,4018,co2
/cdiac/cdiac.ornl.gov/pub/ndp005/event/scsn15_01D1_event.co2,57077,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/spo/spoday1987.co2,13817,co2
/cdiac/cdiac.ornl.gov/pub/trends/co2_emis/chr.dat,3894,dat
/cdiac/cdiac.ornl.gov/pub/trends/co2_emis/blr.dat,4347,dat
