full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/fossil_fuel_CO2_emissions_gridded_monthly_del13C_v2009/gridiso.195005.Z,62797,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/fossil_fuel_CO2_emissions_gridded_monthly_del13C_v2009/SUMMARY04.MONTHLY.ISOMASS.DAT,2245,DAT
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/fossil_fuel_CO2_emissions_gridded_monthly_del13C_v2009/gridiso.195001.Z,62913,Z
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/db1015/rp-modelb_nov.dat,661963,dat
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/fossil_fuel_CO2_emissions_gridded_monthly_del13C_v2016/SUMMARY05.MONTHLY.ISOMASS.DAT,2574,DAT
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/db1017/ak.ha,9764,ha
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/db1017/ca.ha,14088,ha
/cdiac/cdiac.ornl.gov/cdiac.ornl.gov/pub/db1017/ca.as,5073,as
/cdiac/cdiac.ornl.gov2/pub3/ndp048/25563.dat.Z,3863093,Z
/cdiac/cdiac.ornl.gov/pub2/ndp048/38927.dat.Z,2914176,Z
/cdiac/cdiac.ornl.gov/pub2/ndp048/38836.dat.Z,2885186,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp048/24343.dat.Z,3968861,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026b/DEC82L.DAT.Z,16657951,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026b/DEC83O.DAT.Z,1971479,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp048/25173.dat.Z,3604367,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/._26NA20090603_metadata.xls,177,xls
/cdiac/cdiac.ornl.gov2/pub3/ndp048/25594.dat.Z,3508745,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp048/26422.dat.Z,2950747,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026b/JAN87O.DAT.Z,1764766,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/._PX100W.csv,82,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp048/29574.dat.Z,4005397,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp048/30949.dat.Z,3553509,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp048/31369.dat.Z,3817485,Z
/cdiac/cdiac.ornl.gov2/pub3/ndp026b/JAN89O.DAT.Z,1585515,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/._Fig9.png,190,png
/cdiac/cdiac.ornl.gov/pub8old/PACIFICAsource/49NZ20021217_hy1.csv,167534,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp048/30555.dat.Z,3471651,Z
/cdiac/cdiac.ornl.gov/pub8old/PACIFICAsource/49NZ20060801_hy1.csv,104176,csv
/cdiac/cdiac.ornl.gov/pub8old/PACIFICAsource/49NZ20081011_hy1.csv,115715,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp026b/JUL87L.DAT.Z,17399635,Z
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/._PX105E.csv,82,csv
/cdiac/cdiac.ornl.gov/pub8old/__MACOSX/._PX108W.csv,82,csv
/cdiac/cdiac.ornl.gov2/pub3/ndp048/33815.dat.Z,2965613,Z
/cdiac/cdiac.ornl.gov/pub8old/PACIFICAsource/49NZ20070904_hy1.csv,96626,csv
/cdiac/cdiac.ornl.gov/pub8old/PACIFICAsource/49NZ20050913_hy1.csv,77466,csv
