full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/71_MNYDC.05.hi.Z,2339456,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/85_SMCFC.43.sc.Z,2830687,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_20-23/21_OSFT.41.cr,67909,cr
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_20-23/20_OSAT.42.low,339545,low
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.df.42.cr,22173,cr
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_20-23/20_OSAT.41.mh,271636,mh
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/87_SMUUC.41.ac.Z,2735833,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/76_MNYDC.10.cumc.Z,2176917,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/74_MNYDC.08.stratc.Z,2144087,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.da.42.mh,88692,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_20-23/20_OSAT.44.low,339545,low
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_07_17/17_O10H.44.low,76116,low
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/73_MNYDC.07.cumc.Z,2255835,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat43_54/54_MNYD.12.ns.Z,476647,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/84_SMCFC.42.as.Z,2540697,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/04_LMSF.43.cr,38573,cr
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/73_MNYDC.07.fo.Z,1182509,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/84_SMCFC.42.sc.Z,2829789,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/71_MNYDC.05.tc.Z,1420131,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.aa.mh,88692,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/03_LMSA.44.tc,38573,tc
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/86_SMCFC.44.cu.Z,2661521,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_20-23/21_OSFT.41.low,271636,low
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.df.41.cr,22173,cr
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/74_MNYDC.08.ns.Z,1603083,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/13_OMSA.43.mh,282540,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_11/11_LOCA.43.mh,342324,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.da.44.mh,88692,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/08_LMMA.06.low,192865,low
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_11/11_LOCA.44.tc,85581,tc
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_20-23/21_OSFT.41.mh,271636,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/15_O10W.43.mh,76116,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/09_LMMF.01.mh,154292,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_25-40/27_OSMA.43.Sc,910657,Sc
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/15_O10W.42.mh,76116,mh
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/77_MNYDC.11.sc.Z,2246153,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/24_OHRM.df.43.cr,10949,cr
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_41-52/41_OMYD.01.Cu,622201,Cu
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_25-40/27_OSMA.43.Cb,910657,Cb
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/09_LMMF.03.mh,154292,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_55-70/56_OSMA.42.Hi,217797,Hi
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/87_SMUUC.41.ns.Z,2480095,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/75_MNYDC.09.as.Z,1656215,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_11/11_LOCA.44.mll,171162,mll
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.df.43.cr,22173,cr
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/08_LMMA.12.low,192865,low
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/74_MNYDC.08.tc.Z,1424760,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.df.41.low,110865,low
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/08_LMMA.06.tc,38573,tc
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/24_OHRM.aa.low,54745,low
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/89_SMUUC.43.ns.Z,2365127,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-05/b1371730.raw.Z,121045,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-02/a%370800.raw.Z,136299,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-05-04/b1091800.raw.Z,121831,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-07/b1992100.raw.Z,53773,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-05/b1371530.dat.Z,6737,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-06/b1750800.raw.Z,132842,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-04/b1012230.raw.Z,163519,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-06/b1761434.raw.Z,113325,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-07/b1992200.raw.Z,77671,Z
/cdiac/cdiac.ornl.gov/pub4/LaSelva/1998-05-04/b1100100.raw.Z,122171,Z
/cdiac/cdiac.ornl.gov/pub12/russia_daily/Russia_stations/31369.txt,2516546,txt
/cdiac/cdiac.ornl.gov/pub/db1013_v2013/gridded/gridiso.tar,8611840,tar
/cdiac/cdiac.ornl.gov/pub/db1013_v2015/gridded/gridiso.1985.Z,52946,Z
/cdiac/cdiac.ornl.gov/pub/ndp005/event/co2_eic_surface-flask_1_ccgg_event.txt,195701,txt
/cdiac/cdiac.ornl.gov/pub/db1013_v2016/gridded/gridiso.2005.Z,77397,Z
/cdiac/cdiac.ornl.gov/pub12/russia_daily/Russia_stations/31478.txt,871108,txt
/cdiac/cdiac.ornl.gov/pub12/russia_daily/Russia_stations/31532.txt,1451882,txt
/cdiac/cdiac.ornl.gov/pub/db1013_v2015/gridded/gridiso.1994.Z,55923,Z
/cdiac/cdiac.ornl.gov/pub/ndp005/month/co2_oxk_surface-flask_1_ccgg_month.txt,5146,txt
/cdiac/cdiac.ornl.gov/pub/ndp005a/brw/brw1989.co2,334652,co2
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.aa.low,110865,low
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat31_42/41_MNYD.11.hi.Z,1652343,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_20-23/21_OSFT.42.pt,67913,pt
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/04_LMSF.42.cr,38573,cr
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat31_42/42_MNYD.12.st.Z,1321875,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/72_MNYDC.06.st.Z,1848093,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/05_LMSW.41.mh,154292,mh
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/85_SMCFC.43.ns.Z,2486800,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/74_MNYDC.08.cu.Z,2237769,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/04_LMSF.44.pt,38573,pt
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_10_24/10_LHRM.af.low,110865,low
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat67_78/72_MNYDC.06.ns.Z,1622153,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/03_LMSA.42.mll,77146,mll
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/85_SMCFC.43.cu.Z,2781221,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat79_90/84_SMCFC.42.cr.Z,2723621,Z
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat43_54/54_MNYD.12.cu.Z,517667,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_07_17/17_OMSH.43.low,282540,low
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat15_30/30_SMHL.44.cu.Z,1437631,Z
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_03-05_13-15/04_LMSF.42.low,192865,low
/cdiac/cdiac.ornl.gov/pub/ndp026d/cat43_54/53_MNYD.11.st.Z,480335,Z
