full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_41-52/50_OMYD.10.Hi,622201,Hi
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_71-82/79_OMYD.09.Sc,155581,Sc
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_55-70/70_OSMH.44.St,217797,St
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_71-82/78_OMYD.08.Cb,155581,Cb
/cdiac/cdiac.ornl.gov/pub/ndp005a/brw/brwmm1989.co2,2132,co2
/cdiac/cdiac.ornl.gov/pub12/russia_daily/Russia_stations/36055.txt,1587350,txt
/cdiac/cdiac.ornl.gov/pub/ndp005/month/scsn03_01D1_mm.co2,3608,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/brw/brwmm1990.co2,2132,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/spo/spo1989.co2,334652,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/smo/smo1992_01C0_hr.co2,336175,co2
/cdiac/cdiac.ornl.gov/pub/ndp005/month/scsn18_01D1_mm.co2,3692,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/smo/smo2006_01C0_hr.co2,335263,co2
/cdiac/cdiac.ornl.gov/pub/ndp005a/smo/smo1993.co2,334652,co2
/cdiac/cdiac.ornl.gov/pub12/russia_daily/Russia_stations/36278.txt,948541,txt
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_55-70/70_OSMH.44.Cu,217797,Cu
/cdiac/cdiac.ornl.gov/pub/ndp046/doc/d805a.wk1,199600,wk1
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_41-52/48_OMYD.08.tc,622201,tc
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_41-52/49_OMYD.09.Cb,622201,Cb
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/18_OMMA.15.mh,76116,mh
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_41-52/51_OMYD.11.tc,622201,tc
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_55-70/66_OSMU.44.Hi,217797,Hi
/cdiac/cdiac.ornl.gov/pub/ndp026e/cat_08-09_18-19/18_OMMA.16.tc,19029,tc
/cdiac/cdiac.ornl.gov/pub/ndp046/wk1/400luc.wk1,192900,wk1
/cdiac/cdiac.ornl.gov/pub/ndp086/ODV/WOCE_S04I.cid,432,cid
/cdiac/cdiac.ornl.gov/pub/trends93/ch4/summit.247,2312,247
/cdiac/cdiac.ornl.gov/pub/trends93/co2/pac10n.091,1128,091
/cdiac/cdiac.ornl.gov/pub/trends93/ch4/spole.341,1783,341
/cdiac/cdiac.ornl.gov/pub/trends93/co2/pac35s.093,1128,093
/cdiac/cdiac.ornl.gov/pub/trends93/precip/karl.891,9441,891
/cdiac/cdiac.ornl.gov/pub/trends93/temp/nsteppes.709,5011,709
/cdiac/cdiac.ornl.gov/pub/trends/n2o/lawdome.393,1918,393
/cdiac/cdiac.ornl.gov/pub/trends/co2_emis/col.dat,15282,dat
/cdiac/cdiac.ornl.gov/pub/ushcn_v2.5_monthly/through_2012/ushcn2012_raw_tavg.txt.gz,4235272,gz
/cdiac/cdiac.ornl.gov/pub/trends93/precip/karl.888,9441,888
/cdiac/cdiac.ornl.gov/pub/trends93/precip/lavery.924,8289,924
/cdiac/cdiac.ornl.gov/pub/trends93/precip/karl.894,9441,894
/cdiac/cdiac.ornl.gov/pub/trends/co2_emis/Preliminary_CO2_emissions_2009.xls,38912,xls
/cdiac/cdiac.ornl.gov/pub/trends/co2_emis/amd.dat,18327,dat
/cdiac/cdiac.ornl.gov/pub/ushcn_v2.5_monthly/through_2013/ushcn2013_FLs_52i_tmin.txt.gz,4685480,gz
/cdiac/cdiac.ornl.gov/pub/trends93/co2/spole.105,2268,105
/cdiac/cdiac.ornl.gov/pub/trends93/temp/stemp.662,8492,662
/cdiac/cdiac.ornl.gov/pub/trends93/precip/nicholso.956,3491,956
/cdiac/cdiac.ornl.gov/pub/trends/co2/bermuda.057,939,057
/cdiac/cdiac.ornl.gov/pub/trends/co2_emis/agu.dat,3578,dat
/cdiac/cdiac.ornl.gov/pub/trends93/temp/tropical.666,8492,666
/cdiac/cdiac.ornl.gov/pub/trends/co2/samoa.099,2459,099
/cdiac/cdiac.ornl.gov/pub/ushcn_v2.5_monthly/through_2013/ushcn2013_FLs_52i_prcp.txt.gz,5013398,gz
/cdiac/cdiac.ornl.gov/pub/trends/co2/ker.dat,3720,dat
/cdiac/cdiac.ornl.gov/pub/trends/co2/cd,6243,
