full_path,size_bytes,extension
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/VOS_Explorer_line/EXP2010/ex1024_readme.txt,2570,txt
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/VOS_Explorer_line/EXP2015/._README.txt,4096,txt
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49FA20050118/49FA20050118_hy1.csv,399276,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49FA20050118/README,951,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49FA20050118/._49FA20050118_hy1.csv,4096,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49FA20030422/README,908,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49FA20030422/._49FA20030422_hy1.csv,4096,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49FA20030422/49FA20030422_hy1.csv,372716,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49NZ20021217/49NZ20021217_hy1.csv,167534,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49NZ20021217/README,467,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49HH20011127/._README,4096,_README
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49HH20011127/README,1118,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49RY20070606/README,1182,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49RY20070606/49RY20070606_hy1.csv,383245,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49RY20070606/._49RY20070606_hy1.csv,4096,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49NZ20041013/README,423,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49NZ20041013/49NZ20041013_hy1.csv,28973,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49H520030609/49H520030609_hy1.csv,3255,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49H520030609/README,416,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49WA20040924/README,440,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49WA20040924/49WA20040924_hy1.csv,7004,csv
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49RY20000920/._README,4096,_README
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49RY20000920/README,827,
/cdiac/cdiac.ornl.gov/pub8old/pub8/oceans/PACIFICA/49RY20000920/._49RY20000920_hy1.csv,4096,csv
