full_path,size_bytes,extension,label,file_uuid
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_DariWouro_near_Bendiely_70027_N14_30_W03_37_huts_05_2011_JH.JPG,922930,jpg,decompressed,6259645f_Fulfulde_DariWouro_near_Bendiely_70027_N14_30_W03_37_huts_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_DariWouro_near_Bendiely_70027_N14_30_W03_37_long_view_05_2011_JH.JPG,3056965,jpg,decompressed,ea193d4e_Fulfulde_DariWouro_near_Bendiely_70027_N14_30_W03_37_long_view_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_DariWouro_near_Bendiely_70027_N14_30_W03_37_mosque_05_2011_JH.JPG,3144775,jpg,decompressed,f8713b6b_Fulfulde_DariWouro_near_Bendiely_70027_N14_30_W03_37_mosque_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Dari_near_Hombori_70024_N15_15_W01_48_06_2011_JH.JPG,1727483,jpg,decompressed,c2610d59_Fulfulde_Dari_near_Hombori_70024_N15_15_W01_48_06_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Derou_in_TogoKanZone_70029_N14_02_W03_14_village_05_2011_JH.JPG,3180646,jpg,decompressed,829e5ab5_Fulfulde_Derou_in_TogoKanZone_70029_N14_02_W03_14_village_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Diommo_near_Songho_70031_N14_24_W03_39_village_05_2011_JH.JPG,3085892,jpg,decompressed,8ccf222e_Fulfulde_Diommo_near_Songho_70031_N14_24_W03_39_village_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Dorodon_70034_N14_07_W03_28_village_huts_05_2011_BT_JH.JPG,2850507,jpg,decompressed,71a606e1_Fulfulde_Dorodon_70034_N14_07_W03_28_village_huts_05_2011_BT_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Dorodon_70034_N14_07_W03_28_village_tower_05_2011_BT_JH.JPG,2858360,jpg,decompressed,eca8c423_Fulfulde_Dorodon_70034_N14_07_W03_28_village_tower_05_2011_BT_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Dossou_70035_N15_08_W01_42_near_Hombori_06_2011_JH.JPG,2264781,jpg,decompressed,ab30ed1f_Fulfulde_Dossou_70035_N15_08_W01_42_near_Hombori_06_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Doussoungou_70036_N15_13_W02_24_Koroy_section_Rimaibe_03_2011_JH.JPG,3111586,jpg,decompressed,e6e729ee_Fulfulde_Doussoungou_70036_N15_13_W02_24_Koroy_section_Rimaibe_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Drimbe_aka_Dirimbe_70037_N15_01_W02_54_village_03_2011_JH.JPG,1578067,jpg,decompressed,c1a32c43_Fulfulde_Drimbe_aka_Dirimbe_70037_N15_01_W02_54_village_03_2011_JH.JPG
