file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
9cbc3bf1_atlantic_cdiac_woce_odv_coll.tar,5079040,5066265,5066265,,0.015042781829833984,0.0015833377838134766
05773256_pacific_cdiac_woce_odv_coll.tar,7086080,7077760,7077760,,0.01480865478515625,0.0012695789337158203
f6da5e4c_PGOCS12v2.tar,24198144,24191906,24191906,,0.037953853607177734,0.0010666847229003906
