file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
aaed3834_49P120120217_bundle.zip,1246055,2142608,2142608,8,0.012650012969970703,9.441375732421875e-05
e72c2239_33GG20131113_bundle.zip,316731,1097623,1097623,8,0.007249593734741211,8.702278137207031e-05
eb002c7f_49UF20040120_bundle.zip,44044,307868,307868,8,0.0018265247344970703,8.058547973632812e-05
78825540_642B20141129_bundle.zip,494824,3841400,3841400,8,0.018610000610351562,8.535385131835938e-05
3cbf563c_33HH20150519_bundle.zip,353343,1327094,1327094,8,0.008641719818115234,9.918212890625e-05
4cf9c664_09FA19931120_bundle.zip,243488,335794,335794,8,0.0027043819427490234,9.012222290039062e-05
93620b88_PAT520150629_bundle.zip,166880,448703,448703,8,0.003715991973876953,9.1552734375e-05
eb788ce2_33WA20130620_bundle.zip,173853,682052,682052,8,0.0046541690826416016,8.797645568847656e-05
9f0c8632_AG5W20140523_bundle.zip,391445,1395169,1395169,8,0.009734153747558594,8.797645568847656e-05
70a4394f_33WA20151027_bundle.zip,221659,926415,926415,8,0.005560636520385742,8.749961853027344e-05
2b527776_SOCAT_tracks_gridded_month_clim_v2.nc.zip,2433795,43552885,43552885,8,0.16147589683532715,0.00014257431030273438
80fc7431_MLCE20150427_bundle.zip,266421,802408,802408,8,0.0058591365814208984,9.751319885253906e-05
53f848d6_PAT520150616_bundle.zip,132832,342850,342850,8,0.002994537353515625,9.202957153320312e-05
62348b08_33GG20111007_bundle.zip,160093,503151,503151,8,0.0033845901489257812,8.749961853027344e-05
201e4301_2QC_matlab_toolbox_150729_old.zip,46873,103443,111635,8,0.002825498580932617,0.00017261505126953125
f95ec1f0_PANC20150401_bundle.zip,148786,421107,421107,8,0.003465414047241211,9.489059448242188e-05
e3a36673_PANC20150809_bundle.zip,155525,421089,421089,8,0.003549337387084961,9.250640869140625e-05
ca362539_49UF20110205_bundle.zip,50086,355243,355243,8,0.002037525177001953,8.177757263183594e-05
8d73b7bb_49UF20130203_bundle.zip,54475,419428,419428,8,0.002325773239135742,8.082389831542969e-05
94d76887_SOCATv2_TropicalPacific.zip,29766884,216329863,216329863,8,1.0656251907348633,0.0006744861602783203
38b18bf3_33KF20130720_bundle.zip,131841,329215,329215,8,0.002621173858642578,8.7738037109375e-05
82c7e7fc_PAT520140716_bundle.zip,165340,439351,439351,8,0.0037050247192382812,9.179115295410156e-05
880a1d0c_SOCATv1.5_qrtrdeg_gridded_coastal_monthly.zip,38641269,159958975,159958975,8,0.7074806690216064,0.0001823902130126953
e7f4df06_26NA20140928_bundle.zip,32426,135243,135243,8,0.0011963844299316406,8.153915405273438e-05
480c9b2d_PANC20140513_bundle.zip,130915,365363,365363,8,0.003038644790649414,0.00010371208190917969
5de3d272_642B20150711_bundle.zip,480311,3612734,3612734,8,0.017687559127807617,8.749961853027344e-05
e035cf97_Pyxis_All_Data.zip,26487865,102220977,102220977,8,0.7066292762756348,0.0021533966064453125
bdfa12de_06AQ20140707_bundle.zip,891711,5325098,5325098,8,0.027405500411987305,0.00014519691467285156
224a2a17_49RY19900913_bundle.zip,3728,13152,13152,8,0.0004863739013671875,8.082389831542969e-05
2f4b0e45_33WA20140911_bundle.zip,95061,181364,181364,8,0.00162506103515625,8.821487426757812e-05
92db191c_33GG20140704_bundle.zip,296498,1061313,1061313,8,0.006814241409301758,8.702278137207031e-05
cf642d48_49UF20120412_bundle.zip,19815,132376,132376,8,0.0010178089141845703,8.082389831542969e-05
62921b0f_PAT520141206_bundle.zip,141367,366023,366023,8,0.0031664371490478516,9.083747863769531e-05
c4d79fd6_33RO20150114_bundle.zip,288652,897480,897480,8,0.006308317184448242,9.775161743164062e-05
ce7f81ab_33HH20140527_bundle.zip,158392,384686,384686,8,0.003068685531616211,8.797645568847656e-05
afa008d3_61TG20150327_bundle.zip,622328,2954309,2954309,8,0.01741313934326172,9.036064147949219e-05
1361837b_33KF20141009_bundle.zip,195707,642938,642938,8,0.0042095184326171875,8.702278137207031e-05
d7978e45_49UF20060118_bundle.zip,46230,315509,315509,8,0.0018761157989501953,8.130073547363281e-05
d76d4e8c_642B20131130_bundle.zip,906471,4992074,4992074,8,0.027306079864501953,8.797645568847656e-05
47fc116f_64RJ20130918_bundle.zip,252906,810434,810434,8,0.005518674850463867,8.893013000488281e-05
299eea9e_49WB20151026_bundle.zip,253380,956024,956024,8,0.005802154541015625,8.320808410644531e-05
1ce08324_33KF20140517_bundle.zip,131609,330670,330670,8,0.0025718212127685547,8.7738037109375e-05
6628a20c_49UP19960118_bundle.zip,17489,84360,84360,8,0.0008351802825927734,8.106231689453125e-05
15ab63c9_61TG20150905_bundle.zip,735430,2567750,2567750,8,0.015909433364868164,9.202957153320312e-05
a5ee9975_PAT520141216_bundle.zip,139889,366802,366802,8,0.0031266212463378906,9.1552734375e-05
3f48d5dd_642B20150819_bundle.zip,530796,4034687,4034687,8,0.018890857696533203,8.702278137207031e-05
87c6680c_26NA20140707_bundle.zip,78715,332969,332969,8,0.002332448959350586,8.273124694824219e-05
7dd90feb_PAT520140102_bundle.zip,143908,374735,374735,8,0.003190279006958008,9.012222290039062e-05
fce6aee8_33HH20140908_bundle.zip,265957,773505,773505,8,0.005680084228515625,8.749961853027344e-05
58d997e4_61TG20140203_bundle.zip,836510,3247972,3247972,8,0.019375324249267578,9.465217590332031e-05
a6dc356c_SOCATv3_FlagE.zip,5550275,40438751,40438751,8,0.2581746578216553,0.0001533031463623047
8acf1226_33KF20150124_bundle.zip,138314,376674,376674,8,0.0028367042541503906,8.7738037109375e-05
4ed20108_49UP20010425_bundle.zip,31925,174387,174387,8,0.0012938976287841797,8.344650268554688e-05
3e818bb7_33HH20151007_bundle.zip,376321,1552878,1552878,8,0.009984970092773438,0.00010037422180175781
0a88e69d_33KF20141018_bundle.zip,142665,367026,367026,8,0.002813577651977539,8.988380432128906e-05
b37c38b4_49UP20110515_bundle.zip,20944,125359,125359,8,0.0009832382202148438,8.368492126464844e-05
db16714e_PAT520131023_bundle.zip,168331,451672,451672,8,0.003780841827392578,9.393692016601562e-05
0fc6c4a9_33RO20150227_bundle.zip,598119,2109590,2109590,8,0.014518260955810547,0.00010156631469726562
4fae1dc5_49RY19910507_bundle.zip,3831,13755,13755,8,0.0004756450653076172,8.749961853027344e-05
60559092_49UF20101204_bundle.zip,27576,180992,180992,8,0.0012462139129638672,8.320808410644531e-05
e857fdeb_33KF20141223_bundle.zip,134229,363145,363145,8,0.0027680397033691406,8.940696716308594e-05
39af26ba_33GC20060124_bundle.zip,146896,346772,346772,8,0.0026369094848632812,9.489059448242188e-05
32a7d315_26NA20141008_bundle.zip,41212,167821,167821,8,0.0013692378997802734,8.58306884765625e-05
b7476fdf_26NA20140204_bundle.zip,87236,366807,366807,8,0.002634286880493164,8.559226989746094e-05
14350a94_33KF20130622_bundle.zip,105343,208765,208765,8,0.0018858909606933594,8.96453857421875e-05
0b116694_49UP19960424_bundle.zip,13589,58921,58921,8,0.0007100105285644531,8.273124694824219e-05
d9af1323_49UP20090423_bundle.zip,15193,90121,90121,8,0.0007946491241455078,8.225440979003906e-05
05593317_SOCATv1.5_TropicalPacific_2011_09_22.zip,21812437,153043626,153043626,8,0.7608404159545898,0.00015425682067871094
ecb8efe7_33GG20131126_bundle.zip,206329,536662,536662,8,0.004133462905883789,9.799003601074219e-05
bb92a4b3_06AQ20151030_bundle.zip,890660,4200676,4200676,8,0.02401423454284668,0.0001251697540283203
875aa913_33GC20060123_bundle.zip,133290,263314,263314,8,0.0020928382873535156,9.465217590332031e-05
19bcb71d_33GG20100824_bundle.zip,257239,804681,804681,8,0.005613565444946289,9.083747863769531e-05
e4f50eb9_642B20120428_bundle.zip,759220,3816952,3816952,8,0.022067546844482422,8.654594421386719e-05
af344dcb_PANC20150826_bundle.zip,257188,793244,793244,8,0.005836009979248047,0.00010657310485839844
4622d865_33GG20140821_bundle.zip,379574,1477528,1477528,8,0.009012937545776367,9.5367431640625e-05
fb2015a5_26NA20140815_bundle.zip,83692,353204,353204,8,0.002482891082763672,8.463859558105469e-05
3a002245_SOCATv1.5_gridded_monthly.zip,6165920,1181970664,1181970664,8,3.3957247734069824,0.00015616416931152344
642eb6c5_PAT520150425_bundle.zip,145486,384640,384640,8,0.0034780502319335938,9.369850158691406e-05
3c964892_49UF20050421_bundle.zip,25081,163603,163603,8,0.0011179447174072266,8.416175842285156e-05
54083ea7_PAT520131009_bundle.zip,130287,332385,332385,8,0.0028824806213378906,9.441375732421875e-05
e0112d86_33HH20140923_bundle.zip,252973,742842,742842,8,0.005343914031982422,8.821487426757812e-05
ce3b5dc4_M55_pCO2.zip,396915,2270251,2270251,8,0.012307405471801758,0.00010251998901367188
af195b29_Hydrochem_data_nc.zip,169865,612527,612527,8,0.012557029724121094,0.0005781650543212891
ae53b6c4_642B20150527_bundle.zip,468740,3577110,3577110,8,0.017090320587158203,0.00010085105895996094
4a3168fb_SOCATv3_SouthernOceans.zip,86712474,622813746,622813746,8,2.9691104888916016,0.0001678466796875
37df04a0_33KF20141218_bundle.zip,145756,412001,412001,8,0.003076791763305664,8.845329284667969e-05
61411106_642B20110108_bundle.zip,916309,4898044,4898044,8,0.028096437454223633,0.00012874603271484375
e1663abd_49RY19910929_bundle.zip,5801,24749,24749,8,0.0004932880401611328,8.20159912109375e-05
6a549fd1_33KF20130627_bundle.zip,204406,684423,684423,8,0.004538297653198242,8.916854858398438e-05
06a9ef36_61TG20150704_bundle.zip,1277661,5120194,5120194,8,0.030836105346679688,9.465217590332031e-05
cc6aa7a6_AGFO20140822_bundle.zip,224125,603352,603352,8,0.0044708251953125,9.012222290039062e-05
977ca74b_SOCAT_qrtrdeg_gridded_coast_monthly_v3.1.zip,77386198,170296133,170296133,8,0.8885018825531006,0.00015878677368164062
2e78dbb5_SOCATv3.zip,346243294,2407171658,2407171658,8,11.673964023590088,0.00015735626220703125
e26e88fd_33WA20150422_bundle.zip,201253,729306,729306,8,0.004810333251953125,9.1552734375e-05
8cdc111f_LDEO_Database_V2015.csv.zip,283218858,1140057786,1140057786,8,7.078967809677124,0.00013399124145507812
2e48bd42_PAT520141105_bundle.zip,129493,325298,325298,8,0.0031037330627441406,9.679794311523438e-05
b6d68e23_61TG20150423_bundle.zip,436586,1289887,1289887,8,0.008270263671875,9.655952453613281e-05
bf859090_33HH20150624_bundle.zip,226868,787385,787385,8,0.005268096923828125,9.918212890625e-05
e69a28a2_61TG20140722_bundle.zip,920074,3543504,3543504,8,0.02153611183166504,9.465217590332031e-05
1f2d3905_33H320130401_bundle.zip,746391,1837172,1837172,8,0.012214422225952148,9.775161743164062e-05
676ebee8_26NA2010_All.zip,841399,2872966,2872966,8,0.025074243545532227,0.0004181861877441406
7becde8d_49RY19931014_bundle.zip,3868,14081,14081,8,0.00046133995056152344,8.988380432128906e-05
2e8fd614_61TG20131117_bundle.zip,619946,2164991,2164991,8,0.013406991958618164,9.393692016601562e-05
cb546910_65DK20141208_bundle.zip,493206,1134361,1134361,8,0.006961345672607422,8.702278137207031e-05
a670b482_PAT520150812_bundle.zip,163601,437183,437183,8,0.00360870361328125,0.00010704994201660156
