file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
c089e69f_OUTCAR.gz,1517346,5899967,,,0.036473751068115234,
722dd90a_OUTCAR.gz,1719159,7019680,,,0.04163765907287598,
53e3ac98_OUTCAR.gz,1695219,6940990,,,0.04161691665649414,
3bf0e77e_OUTCAR.gz,1501920,5844232,,,0.035907745361328125,
932970fa_OUTCAR.gz,1697348,6939618,,,0.04178500175476074,
5939c947_OUTCAR.gz,1696477,6941896,,,0.04140830039978027,
692eb922_OUTCAR.gz,1750787,7095399,,,0.04224443435668945,
2d1f5c7f_OUTCAR.gz,1610524,6653380,,,0.03924989700317383,
6364f003_OUTCAR.gz,1743174,7095430,,,0.04214310646057129,
abb190dd_OUTCAR.gz,1516518,5902871,,,0.03617119789123535,
bebcaffa_OUTCAR.gz,1702255,6940796,,,0.04148125648498535,
f7c933c5_OUTCAR.gz,1501550,5842551,,,0.03589439392089844,
57cfa3cf_OUTCAR.gz,1718916,7017068,,,0.04218411445617676,
d08980ee_OUTCAR.gz,1702798,6937076,,,0.04134678840637207,
f2ba6a1e_OUTCAR.gz,1609540,6649937,,,0.03933072090148926,
cd624a48_OUTCAR.gz,1518109,5904076,,,0.036324501037597656,
1cd875fa_OUTCAR.gz,1522170,5900253,,,0.03656411170959473,
e0483dce_OUTCAR.gz,1719430,7021267,,,0.04248929023742676,
8af14bcc_OUTCAR.gz,1609890,6647861,,,0.039003849029541016,
cf337faf_OUTCAR.gz,1718973,7021195,,,0.042017459869384766,
82c99233_OUTCAR.gz,1607807,6644835,,,0.03887057304382324,
10bc87eb_OUTCAR.gz,1609627,6660766,,,0.03894543647766113,
d75e6ffd_OUTCAR.gz,1742641,7093445,,,0.04222607612609863,
5d2bb46d_OUTCAR.gz,1611089,6656280,,,0.03891754150390625,
ca4ed763_OUTCAR.gz,1741912,7098774,,,0.04331803321838379,
786eb902_OUTCAR.gz,1688864,6942500,,,0.04128861427307129,
95d380df_OUTCAR.gz,1764401,7173585,,,0.04356026649475098,
ef534d58_OUTCAR.gz,1696732,6940734,,,0.04134511947631836,
78376fd5_OUTCAR.gz,1722875,7015902,,,0.04274892807006836,
e0be529d_OUTCAR.gz,1702303,6940506,,,0.04134511947631836,
