file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time,origin
042b0287_OUTCAR.gz,1516649,5903572,,,0.0364530086517334,,mdf
3843dda0_OUTCAR.gz,1609890,6647861,,,0.0391967296600341,,mdf
e1acb2af_OUTCAR.gz,1690545,6943122,,,0.0414814949035644,,mdf
a7175ae9_OUTCAR.gz,1611275,6656417,,,0.0392687320709228,,mdf
2e668e55_OUTCAR.gz,1743951,7095194,,,0.0427737236022949,,mdf
15ce6b84_OUTCAR.gz,1687959,6942700,,,0.041478157043457,,mdf
17dbfa8b_OUTCAR.gz,1518517,5901363,,,0.036311388015747,,mdf
d58fd065_OUTCAR.gz,1678998,6885183,,,0.0409486293792724,,mdf
9f868f5f_OUTCAR.gz,1695201,6942410,,,0.0414838790893554,,mdf
e3df6266_OUTCAR.gz,1728538,7039402,,,0.0422079563140869,,mdf
712daf62_OUTCAR.gz,1611059,6656139,,,0.0394723415374755,,mdf
fb311e83_OUTCAR.gz,1685693,6938199,,,0.0416486263275146,,mdf
5a74810e_OUTCAR.gz,1611601,6653473,,,0.0393521785736084,,mdf
4757113c_OUTCAR.gz,1609056,6645853,,,0.0392079353332519,,mdf
7f66700e_g4mp2_data.json.gz,77967704,262902721,,,1.9421367645263672,,mdf
29e705f4_OUTCAR.gz,1684681,7182464,,,0.0429701805114746,,mdf
0ce1b188_OUTCAR.gz,1719035,7023876,,,0.0421960353851318,,mdf
739a53da_OUTCAR.gz,1750176,7098164,,,0.0428919792175293,,mdf
464122e9_OUTCAR.gz,1522375,5904820,,,0.0365047454833984,,mdf
2276c5b7_OUTCAR.gz,1523507,5897426,,,0.0365188121795654,,mdf
123822e8_OUTCAR.gz,1686210,6941070,,,0.0414330959320068,,mdf
21b99a09_OUTCAR.gz,1698139,6948368,,,0.0415518283843994,,mdf
225566bd_OUTCAR.gz,1718315,7018781,,,0.0421404838562011,,mdf
245717d9_OUTCAR.gz,1598509,6634310,,,0.0391552448272705,,mdf
0cf65ccc_OUTCAR.gz,1722725,7020123,,,0.0421047210693359,,mdf
6691335e_OUTCAR.gz,1673799,6865870,,,0.0409672260284423,,mdf
37bb2ec7_OUTCAR.gz,1801913,7097473,,,0.0430853366851806,,mdf
940815bc_OUTCAR.gz,1517877,5902776,,,0.0363895893096923,,mdf
900ef3d8_OUTCAR.gz,1609056,6645853,,,0.0392765998840332,,mdf
cbf8cdc2_OUTCAR.gz,1609540,6649937,,,0.0392496585845947,,mdf
bfe8434a_OUTCAR.gz,1609417,6653165,,,0.0393362045288085,,mdf
7cb144a4_OUTCAR.gz,27,0,,,0.0001485347747802,,mdf
f9ddb39f_OUTCAR.gz,1686205,6938297,,,0.0414717197418212,,mdf
7c97f0ef_OUTCAR.gz,1516050,5903260,,,0.0362367630004882,,mdf
53640bfc_OUTCAR.gz,1602964,6652217,,,0.0392758846282959,,mdf
c089e69f_OUTCAR.gz,1517346,5899967,,,0.0364737510681152,,mdf
722dd90a_OUTCAR.gz,1719159,7019680,,,0.0416376590728759,,mdf
53e3ac98_OUTCAR.gz,1695219,6940990,,,0.0416169166564941,,mdf
3bf0e77e_OUTCAR.gz,1501920,5844232,,,0.0359077453613281,,mdf
932970fa_OUTCAR.gz,1697348,6939618,,,0.0417850017547607,,mdf
5939c947_OUTCAR.gz,1696477,6941896,,,0.0414083003997802,,mdf
692eb922_OUTCAR.gz,1750787,7095399,,,0.0422444343566894,,mdf
2d1f5c7f_OUTCAR.gz,1610524,6653380,,,0.0392498970031738,,mdf
6364f003_OUTCAR.gz,1743174,7095430,,,0.0421431064605712,,mdf
abb190dd_OUTCAR.gz,1516518,5902871,,,0.0361711978912353,,mdf
bebcaffa_OUTCAR.gz,1702255,6940796,,,0.0414812564849853,,mdf
f7c933c5_OUTCAR.gz,1501550,5842551,,,0.0358943939208984,,mdf
57cfa3cf_OUTCAR.gz,1718916,7017068,,,0.0421841144561767,,mdf
d08980ee_OUTCAR.gz,1702798,6937076,,,0.041346788406372,,mdf
f2ba6a1e_OUTCAR.gz,1609540,6649937,,,0.0393307209014892,,mdf
cd624a48_OUTCAR.gz,1518109,5904076,,,0.0363245010375976,,mdf
1cd875fa_OUTCAR.gz,1522170,5900253,,,0.0365641117095947,,mdf
e0483dce_OUTCAR.gz,1719430,7021267,,,0.0424892902374267,,mdf
8af14bcc_OUTCAR.gz,1609890,6647861,,,0.039003849029541,,mdf
cf337faf_OUTCAR.gz,1718973,7021195,,,0.0420174598693847,,mdf
82c99233_OUTCAR.gz,1607807,6644835,,,0.0388705730438232,,mdf
10bc87eb_OUTCAR.gz,1609627,6660766,,,0.0389454364776611,,mdf
d75e6ffd_OUTCAR.gz,1742641,7093445,,,0.0422260761260986,,mdf
5d2bb46d_OUTCAR.gz,1611089,6656280,,,0.0389175415039062,,mdf
ca4ed763_OUTCAR.gz,1741912,7098774,,,0.0433180332183837,,mdf
786eb902_OUTCAR.gz,1688864,6942500,,,0.0412886142730712,,mdf
95d380df_OUTCAR.gz,1764401,7173585,,,0.0435602664947509,,mdf
ef534d58_OUTCAR.gz,1696732,6940734,,,0.0413451194763183,,mdf
78376fd5_OUTCAR.gz,1722875,7015902,,,0.0427489280700683,,mdf
e0be529d_OUTCAR.gz,1702303,6940506,,,0.0413451194763183,,mdf
e03e76a9_OUTCAR.gz,1696507,6940222,,,0.0412163734436035,,mdf
a927bbf2_OUTCAR.gz,1764606,7170095,,,0.0468924045562744,,mdf
b8de70f3_OUTCAR.gz,1609963,6651302,,,0.0389776229858398,,mdf
140419a2_OUTCAR.gz,1684681,7182464,,,0.0415399074554443,,mdf
252f86c4_OUTCAR.gz,1517131,5903595,,,0.0361256599426269,,mdf
b57dd4a9_OUTCAR.gz,1687048,6940178,,,0.0410933494567871,,mdf
d4ed18b5_OUTCAR.gz,1719737,7016704,,,0.0422685146331787,,mdf
58bee9c0_OUTCAR.gz,1696756,6938798,,,0.04119873046875,,mdf
462bd614_OUTCAR.gz,1612426,6707063,,,0.039407730102539,,mdf
d161c3d3_OUTCAR.gz,1686785,6936992,,,0.0414981842041015,,mdf
5b3a4c57_OUTCAR.gz,1696274,6939556,,,0.0417158603668212,,mdf
5b74d4ab_OUTCAR.gz,1720473,7015383,,,0.0422282218933105,,mdf
6c4fe2cf_OUTCAR.gz,1724533,7018004,,,0.04189133644104,,mdf
92dc6ed5_OUTCAR.gz,1743190,7094275,,,0.042311668395996,,mdf
7d695663_OUTCAR.gz,1517031,5904385,,,0.0362610816955566,,mdf
3de6b3c3_OUTCAR.gz,1610819,6652747,,,0.0390083789825439,,mdf
ac90d003_OUTCAR.gz,1695514,6942988,,,0.0416340827941894,,mdf
4f6b88a2_fchl-predictions.csv.gz,10754710,64579289,,,0.3406393527984619,,mdf
1a5c88d6_displacement.tar.gz,762541,6318080,,,0.0288939476013183,,mdf
e25a2f40_OUTCAR.gz,1699176,6942369,,,0.0419282913208007,,mdf
ba05b947_OUTCAR.gz,1718412,7013583,,,0.041628360748291,,mdf
162cde2c_OUTCAR.gz,1611452,6663686,,,0.0389320850372314,,mdf
7beadb3f_OUTCAR.gz,1688403,6939109,,,0.0414295196533203,,mdf
bf14922e_OUTCAR.gz,1609056,6645853,,,0.0389680862426757,,mdf
3d4be454_OUTCAR.gz,1521905,5899579,,,0.0360426902770996,,mdf
9692b91e_OUTCAR.gz,1617558,6731641,,,0.0392191410064697,,mdf
e549d1da_OUTCAR.gz,1610149,6657814,,,0.038938283920288,,mdf
afe27b44_OUTCAR.gz,1516590,5903316,,,0.0357179641723632,,mdf
e4e7eed8_OUTCAR.gz,1609963,6651302,,,0.0387544631958007,,mdf
bdd13a72_OUTCAR.gz,1611502,6653474,,,0.0389337539672851,,mdf
95dd4759_OUTCAR.gz,1743570,7095605,,,0.0424103736877441,,mdf
8629fb35_OUTCAR.gz,1743578,7094371,,,0.042386770248413,,mdf
aa802d12_OUTCAR.gz,1722477,7017499,,,0.0418264865875244,,mdf
479c7f0f_OUTCAR.gz,1518761,5900921,,,0.0361862182617187,,mdf
c78617fa_OUTCAR.gz,1623563,7873758,,,0.0427875518798828,,mdf
90f468f5_OUTCAR.gz,1798396,7113867,,,0.0429134368896484,,mdf
88874982_OUTCAR.gz,1687879,6942598,,,0.0411858558654785,,mdf
3c52f8d9_OUTCAR.gz,1716486,7018071,,,0.0416545867919921,,mdf
4db6ccc2_OUTCAR.gz,1610074,6657506,,,0.0390019416809082,,mdf
c67d1e1a_OUTCAR.gz,1686215,6938287,,,0.0409493446350097,,mdf
